facts,longitude,latitude
Alcohol Involvement,-73.9846784,40.7217311
Prescription Medication,-74.1623899,40.5439115
Prescription Medication,-73.9730687,40.7584318
Prescription Medication,-73.7950155,40.7776607
Alcohol Involvement,-73.9655103,40.6813432
Prescription Medication,-73.9735729,40.7794786
Alcohol Involvement,-73.9198004,40.7593484
Alcohol Involvement,-73.8864096,40.8300576
Prescription Medication,-73.9830482,40.6774056
Prescription Medication,-73.9645027,40.7589756
Alcohol Involvement,-73.7987143,40.7305892
Prescription Medication,-73.987123,40.7659905
Prescription Medication,-73.7400181,40.6647479
Alcohol Involvement,-73.7569053,40.7620943
Alcohol Involvement,-73.9022935,40.8627177
Prescription Medication,-74.0174913,40.6448799
Prescription Medication,-73.9359976,40.676121
Prescription Medication,-73.8529246,40.9046015
Prescription Medication,-73.9981962,40.7210624
Prescription Medication,-73.8952779,40.815755
Drugs (Illegal),-73.9035714,40.7518401
Prescription Medication,-73.8160043,40.8168634
Fell Asleep,-73.9775855,40.7870466
Prescription Medication,-73.996304,40.7533873
Prescription Medication,-73.9815802,40.6668874
Prescription Medication,-73.9347418,40.7509782
Prescription Medication,-73.8675461,40.7361537
Prescription Medication,-73.9592455,40.6671424
Prescription Medication,-74.0057798,40.7256734
Prescription Medication,-74.0085993,40.7113923
Drugs (Illegal),-73.9821677,40.7209677
Prescription Medication,-73.8480611,40.8356374
Prescription Medication,-73.7898613,40.7610566
Alcohol Involvement,-73.9373965,40.7489156
Prescription Medication,-73.943814,40.8253323
Prescription Medication,-73.9176827,40.8402259
Alcohol Involvement,-73.8979659,40.8840347
Aggressive Driving/Road Rage,-73.9817158,40.6588095
Fell Asleep,-73.9058416,40.8310577
Prescription Medication,-73.7594419,40.7210636
Alcohol Involvement,-73.9592778,40.6852168
Alcohol Involvement,-73.9057225,40.8589932
Alcohol Involvement,-73.8988727,40.8655829
Prescription Medication,-73.9763046,40.7940317
Prescription Medication,-73.8466659,40.7322824
Prescription Medication,-73.9977585,40.7564889
Aggressive Driving/Road Rage,-73.8319235,40.7677542
Aggressive Driving/Road Rage,-73.9211792,40.8296282
Aggressive Driving/Road Rage,-73.8230706,40.7165284
Alcohol Involvement,-73.831183,40.746539
Animals Action,-73.8988296,40.6420041
Aggressive Driving/Road Rage,-73.7702044,40.7448949
Prescription Medication,-73.876016,40.7356334
Alcohol Involvement,-73.7675188,40.7604922
Prescription Medication,-73.9930696,40.7578281
Prescription Medication,-73.9813242,40.6799525
Prescription Medication,-73.9990364,40.749638
Prescription Medication,-74.0010934,40.736562
Prescription Medication,-73.9904225,40.7665617
Alcohol Involvement,-73.7835025,40.7483476
Alcohol Involvement,-73.8415215,40.6772785
Prescription Medication,-73.9469328,40.6116845
Prescription Medication,-73.9438444,40.823647
Prescription Medication,-73.8426116,40.8401671
Prescription Medication,-73.9821258,40.7830264
Prescription Medication,-73.9388668,40.5783751
Prescription Medication,-73.8045285,40.7214619
Alcohol Involvement,-73.8483417,40.8203634
Alcohol Involvement,-73.9200454,40.8079057
Alcohol Involvement,-73.953369,40.699405
Prescription Medication,-73.9176933,40.7673561
Prescription Medication,-73.815165,40.7652665
Prescription Medication,-73.9434704,40.6173838
Prescription Medication,-73.9005944,40.7126973
Alcohol Involvement,-73.9277733,40.8101066
Prescription Medication,-73.9954735,40.759626
Prescription Medication,-73.968811,40.6931192
Alcohol Involvement,-73.7438625,40.7290337
Alcohol Involvement,-73.9761722,40.7967215
Fell Asleep,-73.9031775,40.6553118
Prescription Medication,-73.9973989,40.7214494
Prescription Medication,-73.9717231,40.7820225
Prescription Medication,-73.9176827,40.8402259
Prescription Medication,-73.9725534,40.7648983
Aggressive Driving/Road Rage,-73.9717231,40.7820225
