date,borough,collisions
Jul-12,BROOKLYN,3884
Aug-12,BROOKLYN,3915
Sep-12,BROOKLYN,3786
Oct-12,BROOKLYN,3881
Nov-12,BROOKLYN,3752
Dec-12,BROOKLYN,4080
Jan-13,BROOKLYN,3656
Feb-13,BROOKLYN,3399
Mar-13,BROOKLYN,3686
Apr-13,BROOKLYN,3871
May-13,BROOKLYN,4284
Jun-13,BROOKLYN,4318
Jul-13,BROOKLYN,3984
Aug-13,BROOKLYN,3900
Sep-13,BROOKLYN,3806
Oct-13,BROOKLYN,4022
Nov-13,BROOKLYN,4056
Dec-13,BROOKLYN,4025
Jan-14,BROOKLYN,3908
Feb-14,BROOKLYN,3590
Mar-14,BROOKLYN,3719
Apr-14,BROOKLYN,3767
May-14,BROOKLYN,4204
Jun-14,BROOKLYN,4247
Jul-14,BROOKLYN,4069
Aug-14,BROOKLYN,3905
Sep-14,BROOKLYN,4163
Oct-14,BROOKLYN,4222
Nov-14,BROOKLYN,3926
Dec-14,BROOKLYN,4021
Jan-15,BROOKLYN,3863
Feb-15,BROOKLYN,3498
Mar-15,BROOKLYN,4362
Apr-15,BROOKLYN,3869
May-15,BROOKLYN,4518
Jun-15,BROOKLYN,4322
Jul-15,BROOKLYN,4288
Aug-15,BROOKLYN,4452
Sep-15,BROOKLYN,4385
Oct-15,BROOKLYN,4635
Nov-15,BROOKLYN,4236
Dec-15,BROOKLYN,4391
Jul-12,MANHATTAN,3653
Aug-12,MANHATTAN,3594
Sep-12,MANHATTAN,3506
Oct-12,MANHATTAN,3497
Nov-12,MANHATTAN,3064
Dec-12,MANHATTAN,3402
Jan-13,MANHATTAN,3017
Feb-13,MANHATTAN,2856
Mar-13,MANHATTAN,3285
Apr-13,MANHATTAN,3358
May-13,MANHATTAN,3841
Jun-13,MANHATTAN,3739
Jul-13,MANHATTAN,3597
Aug-13,MANHATTAN,3541
Sep-13,MANHATTAN,3565
Oct-13,MANHATTAN,3703
Nov-13,MANHATTAN,3622
Dec-13,MANHATTAN,3453
Jan-14,MANHATTAN,3140
Feb-14,MANHATTAN,2914
Mar-14,MANHATTAN,3134
Apr-14,MANHATTAN,3415
May-14,MANHATTAN,3816
Jun-14,MANHATTAN,3716
Jul-14,MANHATTAN,3500
Aug-14,MANHATTAN,3484
Sep-14,MANHATTAN,3553
Oct-14,MANHATTAN,3651
Nov-14,MANHATTAN,3429
Dec-14,MANHATTAN,3495
Jan-15,MANHATTAN,2875
Feb-15,MANHATTAN,2670
Mar-15,MANHATTAN,3396
Apr-15,MANHATTAN,3521
May-15,MANHATTAN,3879
Jun-15,MANHATTAN,3728
Jul-15,MANHATTAN,3842
Aug-15,MANHATTAN,3707
Sep-15,MANHATTAN,3639
Oct-15,MANHATTAN,4023
Nov-15,MANHATTAN,3545
Dec-15,MANHATTAN,3672
Jul-12,QUEENS,3204
Aug-12,QUEENS,3149
Sep-12,QUEENS,3150
Oct-12,QUEENS,3174
Nov-12,QUEENS,3186
Dec-12,QUEENS,3272
Jan-13,QUEENS,3047
Feb-13,QUEENS,2733
Mar-13,QUEENS,3285
Apr-13,QUEENS,3115
May-13,QUEENS,3497
Jun-13,QUEENS,3344
Jul-13,QUEENS,3435
Aug-13,QUEENS,3078
Sep-13,QUEENS,3270
Oct-13,QUEENS,3502
Nov-13,QUEENS,3532
Dec-13,QUEENS,3465
Jan-14,QUEENS,3400
Feb-14,QUEENS,3338
Mar-14,QUEENS,3177
Apr-14,QUEENS,3202
May-14,QUEENS,3475
Jun-14,QUEENS,3626
Jul-14,QUEENS,3428
Aug-14,QUEENS,3357
Sep-14,QUEENS,3513
Oct-14,QUEENS,3655
Nov-14,QUEENS,3433
Dec-14,QUEENS,3397
Jan-15,QUEENS,3417
Feb-15,QUEENS,2876
Mar-15,QUEENS,3631
Apr-15,QUEENS,3127
May-15,QUEENS,3641
Jun-15,QUEENS,3680
Jul-15,QUEENS,3682
Aug-15,QUEENS,3664
Sep-15,QUEENS,3707
Oct-15,QUEENS,3911
Nov-15,QUEENS,3504
Dec-15,QUEENS,3628
Jul-12,BRONX,1641
Aug-12,BRONX,1665
Sep-12,BRONX,1548
Oct-12,BRONX,1604
Nov-12,BRONX,1444
Dec-12,BRONX,1607
Jan-13,BRONX,1486
Feb-13,BRONX,1541
Mar-13,BRONX,1746
Apr-13,BRONX,1602
May-13,BRONX,1808
Jun-13,BRONX,1748
Jul-13,BRONX,1749
Aug-13,BRONX,1605
Sep-13,BRONX,1666
Oct-13,BRONX,1580
Nov-13,BRONX,1610
Dec-13,BRONX,1625
Jan-14,BRONX,1635
Feb-14,BRONX,1686
Mar-14,BRONX,1561
Apr-14,BRONX,1528
May-14,BRONX,1686
Jun-14,BRONX,1747
Jul-14,BRONX,1662
Aug-14,BRONX,1610
Sep-14,BRONX,1712
Oct-14,BRONX,1639
Nov-14,BRONX,1583
Dec-14,BRONX,1630
Jan-15,BRONX,1704
Feb-15,BRONX,1435
Mar-15,BRONX,1823
Apr-15,BRONX,1623
May-15,BRONX,1837
Jun-15,BRONX,1831
Jul-15,BRONX,1821
Aug-15,BRONX,1878
Sep-15,BRONX,1751
Oct-15,BRONX,1866
Nov-15,BRONX,1788
Dec-15,BRONX,1883
Jul-12,STATEN ISLAND,768
Aug-12,STATEN ISLAND,849
Sep-12,STATEN ISLAND,808
Oct-12,STATEN ISLAND,831
Nov-12,STATEN ISLAND,798
Dec-12,STATEN ISLAND,848
Jan-13,STATEN ISLAND,773
Feb-13,STATEN ISLAND,717
Mar-13,STATEN ISLAND,807
Apr-13,STATEN ISLAND,765
May-13,STATEN ISLAND,904
Jun-13,STATEN ISLAND,894
Jul-13,STATEN ISLAND,513
Aug-13,STATEN ISLAND,529
Sep-13,STATEN ISLAND,551
Oct-13,STATEN ISLAND,609
Nov-13,STATEN ISLAND,607
Dec-13,STATEN ISLAND,626
Jan-14,STATEN ISLAND,627
Feb-14,STATEN ISLAND,612
Mar-14,STATEN ISLAND,531
Apr-14,STATEN ISLAND,501
May-14,STATEN ISLAND,527
Jun-14,STATEN ISLAND,629
Jul-14,STATEN ISLAND,526
Aug-14,STATEN ISLAND,505
Sep-14,STATEN ISLAND,555
Oct-14,STATEN ISLAND,606
Nov-14,STATEN ISLAND,514
Dec-14,STATEN ISLAND,479
Jan-15,STATEN ISLAND,552
Feb-15,STATEN ISLAND,440
Mar-15,STATEN ISLAND,513
Apr-15,STATEN ISLAND,456
May-15,STATEN ISLAND,630
Jun-15,STATEN ISLAND,512
Jul-15,STATEN ISLAND,522
Aug-15,STATEN ISLAND,508
Sep-15,STATEN ISLAND,514
Oct-15,STATEN ISLAND,561
Nov-15,STATEN ISLAND,556
Dec-15,STATEN ISLAND,575
